link,value_make,value_model,value_variant,value_year,value_petrol,value_transmission,value_mileage,value_first_owner,itemPrice,itemTitle,itemLocation,itemDescriptionContent
"https://www.olx.in/item/tata-indica-v2-2016-diesel-140000-km-driven-iid-1591255847
",Tata,Indica V2,Indica V2 Xeta GL1.2 BS-III,2016,Diesel,Manual,"140,000 km",Second,"₹ 2,20,000",Tata indica 2014 diesal,"Babu nagar, Madurai, Tamil Nadu",Vehicle very good condition
"https://www.olx.in/item/hyundai-creta-16-sx-o-2015-diesel-iid-1557417269
",Hyundai,Creta,-1,2015,Diesel,-1,"51,000 km",-1,"₹ 11,40,000","Hyundai Creta, 2016, Diesel","Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Type of Car: SUV
Registration Place: TN
Insurance Type: Comprehensive
Transmission: Manual
Make Month: October
Color: White
Condition: Used
No. of Owners: First
Variant: Creta 1.6 SX (O)"
"https://www.olx.in/item/ford-fiesta-2006-petrol-well-maintained-iid-1591065852
",Ford,Fiesta,2004-2010 1.6 ZXi ABS,2006,Petrol,Manual,"67,000 km",Third,"₹ 1,60,000","Ford Ikon DuraTorq 1.4 TDCi, 2009, Diesel","Old Washermanpet, Chennai, Tamil Nadu",Recently full serviced... Car in very very good condition... No insurance.. fc current... Buying customers only contact me... Urgent sell...
"https://www.olx.in/item/toyota-qualis-2004-diesel-good-condition-iid-1586386860
",Toyota,Qualis,FS B6,2004,Diesel,Manual,"230,544 km",Third,"₹ 1,85,000","Ford Fiesta ZXi 1.4 TDCi, 2009, Diesel","Chintamani, Madurai, Tamil Nadu",AC POWER STEERING AC NOT GAS INSURANCE NIL FOUR TIYER GOOD CONDITION LCD TV NEW EXSIDE BATTERY FC 2024
"https://www.olx.in/item/luxurious-3-bhk-flat-in-gated-township-at-prime-location-of-jagatpura-iid-1586172714
",-1,-1,-1,-1,-1,-1,-1,-1,"₹ 30,99,999",Flat 3 bhk for sale near mahima panorama Jagatpura,"Jagatpura, Jaipur, Rajasthan","BEAUTIFUL 3 BHK FLAT IN PRIME LOCATION OF JAGATPURA IN BLOCK OF 60 FLATS.
* False Ceiling with L.E.D Lights.
* Modular Kitchen.
* Wall Paper in all Bedrooms.
* Wooden Wardrobes in all Bedrooms.
* Attached Toilets.
* 24 Hours Security.
* Yoga Area.
* 62 % Open Area.
* GYM.
* Play Area.
* Roof top Garden.
* East Facing.
* Vastu Friendly.
* Natural Lights.
* Covered parking.
* Two Automatic Lifts.
* 24 Hours Water Supply.
* 90 % Loanable.
* 2.67 Lacs Subsidy."
"https://www.olx.in/item/tavera-tboard-iid-1586778936
",Chevrolet,Tavera,2012-2017 Neo 3 Max 9 Str BSIII,2016,Diesel,Manual,"140,000 km",Second,"₹ 5,49,999","Toyota Innova 2.0 G4, 2008, Diesel","Mattuthavani, Madurai, Tamil Nadu",Vehicle in Madurai
"https://www.olx.in/item/maruti-suzuki-celerio-zxi-2020-petrol-iid-1579936278
",Maruti Suzuki,Celerio,ZXI MT,2020,Petrol,Manual,0 km,First,"₹ 6,45,000","Hyundai I20 i20 Asta 1.4 CRDI 6 Speed, 2015, Diesel","Kamraj salai, Madurai, Tamil Nadu","Brand new vechile more driving comfort more space blue tooth music system loan available exchange available test drive available
ADDITIONAL VEHICLE INFORMATION:
Color: Other
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Display Screen: Yes
Adjustable External Mirror: Manual
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Zero Dep
Condition: New
Power steering: Yes
Make Month: June
Bluetooth: Yes
Lock System: Central
Tyre Condition: New
Number of Airbags: 2 airbags"
"https://www.olx.in/item/maruti-suzuki-swift-dzire-2015-diesel-66000-km-driven-iid-1590784320
",Maruti Suzuki,Swift Dzire,ZDI,2015,Diesel,Automatic,"66,000 km",First,"₹ 6,50,000","Toyota Innova 2.5 G4 8 STR, 2008, Diesel","Mattiuttavani, Madurai, Tamil Nadu",Sales for my business
"https://www.olx.in/item/maruti-suzuki-swift-vdi-2008-diesel-iid-1590503257
",Maruti Suzuki,Swift,2011-2014 VDI,2008.0,Diesel,Manual,"115,000 km",Second,"₹ 3,25,000","Mahindra Scorpio LX BS-IV, 2006, Diesel","K Pudur, Madurai, Tamil Nadu","vechile Good condition loan Available Exchange Available
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Air Conditioning: With Heater
Aux Compatibility: Yes
USB Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Power Windows: Front & rear
Adjustable External Mirror: Manual
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: April
Bluetooth: Yes
Lock System: Central"
"https://www.olx.in/item/toyota-innova-20-g4-2008-diesel-iid-1574634390
",Toyota,Innova,2009-2011 2.0 G4 Petrol 8-seater,2008,Diesel,Manual,"140,000 km",Second,"₹ 5,25,000","Honda City S Manual DIESEL, 2014, Diesel","Nungambakkam Lake Area, Chennai, Tamil Nadu","RATE NEGOTIABLE EXCELLENT CONDITION
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Silver
Aux Compatibility: Yes
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Finance: Yes
Exchange: Yes
Type of Car: SUV
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: November
Lock System: Remote Controlled Central
Tyre Condition: New"
"https://www.olx.in/item/ford-fusion-2005-petrol-well-maintained-iid-1586650821
",Ford,Fusion,1.6 Duratec Petrol,2005,Petrol,Automatic,"120,000 km",Second,"₹ 1,20,000","Ford Fiesta EXi 1.4 TDCi, 2006, Diesel","Chinthamani Police Colony, Tiruchirappalli, Tamil Nadu",My new car
"https://www.olx.in/item/maruti-suzuki-omni-2008-lpg-well-maintained-iid-1589766331
",Maruti Suzuki,Omni,MPI STD BSIV,2008,LPG,Manual,"123,562 km",Third,"₹ 1,20,000","Maruti Suzuki Omni 5 STR BS-III, 2006, Petrol","Kumaran Nagar, Tiruchirappalli, Tamil Nadu",Good condition 97896Mari92179 T Board sarndar
"https://www.olx.in/item/renault-duster-110-ps-rxl-diesel-2013-diesel-iid-1591043024
",Renault,Duster,2012-2015 110PS Diesel RxL,2013,Diesel,Manual,"89,000 km",Second,"₹ 5,75,000","Nissan Terrano XV D THP Premium 110 PS, 2014, Diesel","Ram Nagar, Madurai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Aux Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Rear Window Wiper: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Display Screen: Yes
Navigation System: Yes
Adjustable External Mirror: Power
Type of Car: SUV
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: April
Bluetooth: Yes
Lock System: Remote Controlled Central"
"https://www.olx.in/item/tata-tiago-12-revotron-xz-2019-diesel-iid-1586017431
",Tata,Tiago,1.2 Revotron XZ,2019,Diesel,Manual,"5,000 km",First,"₹ 6,00,000",OWN BOARD VEHICLE FOR RENT,"Chennai Central, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Brown
Type of Car: SUV
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: May"
"https://www.olx.in/item/volkswagen-vento-comfortline-diesel-2011-diesel-iid-1590123486
",Volkswagen,Vento,2010-2013 Diesel Comfortline,2011,Diesel,Manual,"70,000 km",Third,"₹ 2,95,000","Volkswagen Vento Highline Petrol, 2011, Petrol","Nungambakkam, Chennai, Tamil Nadu","VOLKSWAGEN VENTO TDI
2011 MODEL
GREY COLOUR
THIRD OWNERSHIP
COMFORT LINE
ALLOY WHEELS
65,000 KM
GIVES GOOD MILEAGE
INSURANCE EXPIRED
DIESEL VARIANT
ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: Sedans
Registration Place: TN
Insurance Type: No Insurance
Condition: Used
Make Month: September"
"https://www.olx.in/item/need-duty-for-my-tata-407-closed-body-vehicle-iid-1592001340
",TATA Motors,-1,-1,2010,-1,-1,"70,000 km",-1,"₹ 50,000",commercial parts,"Vyasarpadi Vyasar Nagar Telephone Exchange Quarter, Chennai, Tamil Nadu",Good condition vehicle all papers are in current. Need regular duty for my Tata 407 closed container vehicle. Pls contact. 100% geniune and experienced drivers. Neat and cleanly maintained vehicle.
"https://www.olx.in/item/tata-tiago-12-revotron-xz-wo-alloy-2019-petrol-iid-1587155488
",Tata,Tiago,1.2 Revotron XZ WO Alloy,2019,Petrol,Manual,"13,000 km",First,"₹ 5,50,000",Honda Amaz Dr car For sale,"Ponmeni, Madurai, Tamil Nadu","2018make2019Reg
ADDITIONAL VEHICLE INFORMATION:
Color: White
Air Conditioning: Automatic Climate Control
Registration Place: TN
AM/FM Radio: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Interior color: Grey
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
ABS: Yes
Make Month: January
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags"
"https://www.olx.in/item/volkswagen-vento-2015-diesel-well-maintained-iid-1591568900
",Volkswagen,Vento,1.6 Highline,2015,Diesel,Manual,"72,500 km",First,"₹ 5,75,000","Skoda Rapid 1.5 TDI CR Ambition with Alloy Wheels, 2012, Diesel","Kilpauk, Chennai, Tamil Nadu","Respected Viewers of my ad, This car was chauffer driven to work daily. i am a doctor working at apollo hospital chennai,
This was my first car, So i have maintained it very neatly and clean. Company Service Record.
very beautiful car, comfort & Performance."
"https://www.olx.in/item/maruti-suzuki-ertiga-2015-diesel-well-maintained-iid-1592026300
",Maruti Suzuki,Ertiga,VDI,2015,Diesel,Manual,"115,000 km",First,"₹ 6,45,000","Toyota Innova 2.0 G4, 2008, Diesel","NMK Colony, Tiruchirappalli, Tamil Nadu",Good condition
"https://www.olx.in/item/volkswagen-polo-comfortline-petrol-2017-petrol-iid-1549363109
",Volkswagen,Polo,-1,2017,Petrol,-1,"22,000 km",-1,"₹ 5,55,555","Volkswagen Polo, 2010, Diesel","Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: White
No. of Owners: First
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Transmission: Manual
Make Month: October
Variant: Polo Comfortline Petrol"
"https://www.olx.in/item/maruti-suzuki-versa-2003-iid-1586778969
",Maruti Suzuki,Versa,Others,2003,Petrol,Manual,"100,000 km",Third,"₹ 1,50,000","Maruti Suzuki Versa DX2 5 STR BS-III, 2006, Petrol","Nehru Nagar, Madurai, Tamil Nadu",Good condition rc and insurance current
"https://www.olx.in/item/maruti-suzuki-omni-2006-iid-1589023039
",Maruti Suzuki,Omni,5 Seater,2006,Petrol,Automatic,"90,000 km",Second,"₹ 90,000",Need to sell my car,"Keela Kumaresa Puram, Koothappar, Tamil Nadu",All documents are current now
"https://www.olx.in/item/2005-eicher-1075-33-1-seats-school-bus-iid-1521677709
",-1,-1,-1,2005,-1,-1,"185,000 km",-1,"₹ 4,45,000",Eicher school bus,"Alagar Nagar, Madurai, Tamil Nadu","2005 EICHER 10.75 , 33 + 1 seats, school bus"
"https://www.olx.in/item/hyundai-santro-xp-2oo4-petrol-well-9m5a0i0n9t6a9i4n3e3d-iid-1592741559
",Hyundai,Santro Xing,XP,2004,Petrol,Manual,"111,111 km",Third,"₹ 1,45,000",Sale My Blacky,"Trichy City, Tiruchirappalli, Tamil Nadu","Location Trichy, 135000/-, no fc, insurance current."
"https://www.olx.in/item/maruti-suzuki-swift-dzire-ldi-bs-iv-2018-diesel-iid-1583805964
",Maruti Suzuki,Swift Dzire,Ldi BSIV,2018,Diesel,Manual,"38,000 km",First,"₹ 5,49,999","Toyota Innova 2.0 G4, 2008, Diesel","Ram Nagar, Madurai, Tamil Nadu","Maruti swift dzire tour ldi single airbag
2018 year single owner low km driven
front power window no audio set
no fc & insurance excellent condition
ADDITIONAL VEHICLE INFORMATION:
Color: White
Air Conditioning: With Heater
Anti Theft Device: Yes
Registration Place: TN
Power Windows: Front
Interior color: Other
Finance: Yes
Adjustable External Mirror: Manual
Type of Car: Sedans
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: March
Lock System: Remote Controlled Central
Number of Airbags: 1 airbag"
"https://www.olx.in/item/ford-figo-2013-diesel-well-maintained-iid-1592573561
",Ford,Figo,2012-2015 Diesel ZXI,2013,Diesel,Manual,"78,408 km",First,"₹ 2,40,000",Chevrolet Beat LT- Top model full company maintenance,"Woraiyur, Tiruchirappalli, Tamil Nadu",Call me 9️⃣9️⃣4️⃣4️⃣5️⃣7️⃣5️⃣1️⃣9️⃣3️⃣
"https://www.olx.in/item/excellent-2bhk-fully-furnished-flat-is-for-rent-in-purva-palm-beach-iid-1579927519
",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"https://www.olx.in/item/maruti-suzuki-alto-800-2014-cng-hybrids-iid-1575528095
",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"https://www.olx.in/item/other-brands-others-2013-diesel-iid-1569937494
",Other Brands,Others,-1,2013,Diesel,Manual,"75,000 km",First,"₹ 1,00,000","Other Brands Others, 2006, Petrol","Thillai Nagar, Tiruchirappalli, Tamil Nadu","KAVI CARS THILLAINAGR 1ST CROSS TRICHY ALL USED CAR BUYING $ SELLEING LOW PRICE LOAN AVILABULE FULL COMPANY MAITANCE SHOWROOM SARVICE CAR ONLY LOW BUDGET HAI BUDGET PLS CALL ME,,
ADDITIONAL VEHICLE INFORMATION:
Exchange: Yes
Finance: Yes
Warranty: Yes
Type of Car: Luxury
Registration Place: TN
Insurance Type: Comprehensive
Make Month: November
Power steering: Yes
Color: Pink
Insurance: Yes
Registration Transfer: Yes
Condition: Used
Engine Capacity/Displacement (in Cc): 1000
Air Conditioning: Automatic Climate Control"
"https://www.olx.in/item/mitsubishi-lancer-diesel-glx-iid-1578287758
",Mitsubishi,Lancer,GLXD,2000,Diesel,Manual,"90,000 km",Third,"₹ 75,000","Maruti Suzuki Zen Vxi Bs-iii, 1996, Lpg","Anaiyur, Madurai, Tamil Nadu","Mitsubishi lancer Diesel glx
Power steering
Power windows
5 alloy wheels
Nice engine 20km per litre ,mileage"
"https://www.olx.in/item/renault-duster-2015-diesel-good-condition-iid-1590592942
",Renault,Duster,110PS Diesel RxL AMT,2015,Diesel,Manual,"133,000 km",Second,"₹ 7,00,000","Nissan Terrano XL D Plus, 2016, Diesel","Chokkalinga Nagar, Madurai, Tamil Nadu",Interior and exterior Full alteration good condition
"https://www.olx.in/item/toyota-innova-crysta-24-gx-manual-2017-diesel-iid-1574477396
",Toyota,Innova Crysta,2.4 GX MT,2017,Diesel,Manual,"115,000 km",First,"₹ 14,00,000","Toyota Innova 2.5 ZX 7 STR BS-III, 2014, Diesel","Palanganatham, Madurai, Tamil Nadu","Baba cars, Madurai
2017 Innova crysta G
Single owner
Km 115000
2.4 manual
3 Air bags
Front and rear AC
Alloy wheels with ABS
Touch screen system with reverse camera
Extra seat cover and floor mat
Front bumper and
Full Chrome fittings
Full Company service
Full insurance
show room condition car
Exchange and Finance Facilities available
Interested buyers call me
(Press call button)
Interested person share your contact number in chat
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
USB Compatibility: Yes
AM/FM Radio: Yes
Rear Parking Camera: Yes
Warranty: Yes
Engine Capacity/Displacement (in Cc): 2400
Fog Lamps: Yes
Navigation System: Yes
Interior color: Beige
Adjustable External Mirror: Power
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: January
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: Old
Insurance: Yes
Color: Grey
Air Conditioning: With Heater
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
Accidental: No
Parking Sensors: Yes
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Display Screen: Yes
Finance: Yes
Exchange: Yes
Type of Car: SUV
Battery Condition: New
ABS: Yes
Bluetooth: Yes
Number of Airbags: 4 airbags"
"https://www.olx.in/item/honda-wrv-wrv-i-dtec-vx-2018-diesel-iid-1591798705
",Honda,WR-V,i-DTEC VX,2018,Diesel,Manual,"27,000 km",First,"₹ 7,80,000","Ford Ecosport EcoSport Titanium 1.5 TDCi (Opt), 2016, Diesel","Terkku Vasal, Madurai, Tamil Nadu","Honda WRV 2018 November VX Top End Model Diesel Sunroof Model 20000 km Only Grey colour Single Owner Auto Climatronic AC Leather seats TouchScreen Navigation MusicSystem Mirror link Support HDMI connectivity ABS EBD Dual Airbags 16” Diamond cut Alloywheels LED DRL Electronically foldable side mirrors Roof Rails Neat Interiors. Insurance upto October 2020. Fully company maintenance
ADDITIONAL VEHICLE INFORMATION:
Make Month: November
Color: Grey
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Power steering: Yes
Cruise Control: Yes
Navigation System: Yes
Adjustable Steering: Yes
Automatic Boot: Yes
Air Conditioning: Automatic Climate Control
Power Windows: Front & rear
Sunroof: Yes
Fog Lamps: Yes
Alloy Wheels: Yes
Rear Window Wiper: Yes
Adjustable External Mirror: Power
Display Screen: Yes
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes
Exchange: Yes"
"https://www.olx.in/item/maruti-suzuki-swift-vdi-2008-diesel-iid-1590839320
",Maruti Suzuki,Swift,2011-2014 VDI,2008,Diesel,Manual,"108,500 km",Second,"₹ 3,25,000","Mahindra Scorpio LX BS-IV, 2006, Diesel","Ram Nagar, Madurai, Tamil Nadu","2008 MARUTI SWIFT VDI SECOND OWNER EXCELLENT CONDITION 4 NEW TYRES INSURANCE CURRENT CALL TO FINALIZE
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Red
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Automatic Boot: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Navigation System: Yes
Interior color: Grey
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: September
Lock System: Remote Controlled Central"
"https://www.olx.in/item/tata-safari-2008-diesel-145000-km-driven-iid-1585094148
",Tata,Safari,4x2 VX DICOR BS-III,2008,Diesel,Manual,"145,000 km",First,"₹ 3,00,000",2007 Tata Safari DICOR EX 4x2 86000 Kms,"Egmore, Chennai, Tamil Nadu","Good condition, single owner, insurance current, tyre condition 80%, Ac working, service done, ...etc
Interest person call me eight zero 56 and 11two two 45 urgent"
"https://www.olx.in/item/tvs-auto-private-iid-1590640721
",-1,-1,-1,2010,-1,-1,"25,506 km",-1,"₹ 65,000","Auto for sale very good condision ,,,all of current","Pudupet Kamaleswararpet, Chennai, Tamil Nadu",My parshanl
"https://www.olx.in/item/hyundai-i10-magna-o-2010-petrol-iid-1591652388
",Hyundai,i10,2007-2010 Magna Optional 1.1L,2010,Petrol,Manual,"26,000 km",Second,"₹ 2,40,000","Chevrolet Beat LT Diesel, 2014, Diesel","Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: December"
"https://www.olx.in/item/maruti-suzuki-alto-lxi-bs-iv-2011-petrol-iid-1592574542
",Maruti Suzuki,Alto,LXi BS-IV,2011,Petrol,Manual,"68,000 km",Second,"₹ 1,63,000","Hyundai Santro Xing GLS LPG, 2009, LPG","KK Nagar, Madurai, Tamil Nadu","Vehicle is in good condition
ADDITIONAL VEHICLE INFORMATION:
Color: Red
Air Conditioning: With Heater
Service History: Not Available
Registration Place: TN
Accidental: No
Flood Affected: No
Power Windows: Front
Vehicle Certified: No
Engine Capacity/Displacement (in Cc): 796
Fog Lamps: Yes
Adjustable External Mirror: Manual
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: August
Tyre Condition: New"
"https://www.olx.in/item/volkswagen-passat-18l-tsi-2010-petrol-iid-1590475089
",Volkswagen,Passat,2007-2010 1.8 TSI MT,2010,Petrol,Manual,"36,000 km",First,"₹ 7,75,000","Volkswagen Passat Comfortline DSG, 2013, Diesel","SS Colony, Madurai, Tamil Nadu","Volkswagen Passat 2010 Fully imported vehicle CBU 1.8 TSI 36000 km Only Sunroof Model Manual Transmission 160 BHP 250 NM Torque Leather Seats Front Both Motorised seats with memory function. Heated Front Seats. HID Projector headlamps with washer. Full LED Taillamps. Wooden Dashboard finish. ABS EBD Traction Stability Control TSC 8 Airbags Push Button START Dual Zone Auto Climatronic Ac Rear Ac vents Electronically Foldable sideview mirror Neat Interiors Second Spare key Available Fully company maintenance
ADDITIONAL VEHICLE INFORMATION:
Make Month: September
Color: Black
Type of Car: Luxury
Insurance Type: Comprehensive
Condition: New
Registration Place: TN
Engine Capacity/Displacement (in Cc): 1800
Power steering: Yes
Cruise Control: Yes
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Power Windows: Front & rear
Sunroof: Yes
Fog Lamps: Yes
Alloy Wheels: Yes
Adjustable External Mirror: Power
Display Screen: Yes
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Grey
ABS: Yes
Anti Theft Device: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 8 airbags
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Exchange: Yes"
"https://www.olx.in/item/renault-duster-85-ps-rxl-diesel-2014-diesel-iid-1590029158
",Renault,Duster,2012-2015 85PS Diesel RxL,2014,Diesel,Manual,"83,000 km",Second,"₹ 5,75,000","Nissan Terrano XV D THP Premium 110 PS, 2014, Diesel","Ellis Nagar, Madurai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Color: Brown
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Warranty: Yes
Vehicle Certified: Yes
Fog Lamps: Yes
Display Screen: Yes
Navigation System: Yes
Interior color: Beige
Finance: Yes
Exchange: Yes
Type of Car: SUV
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: February
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: 2 airbags"
"https://www.olx.in/item/mahendra-xylo-d4-bs4-iid-1592002076
",Mahindra,-1,-1,2018,-1,-1,"30,000 km",-1,"₹ 8,75,000",Xylo car Mahindra Xylo H4 ABS IV 2019,"Royapuram New Kamraj Colony, Chennai, Tamil Nadu",well maintained super condition
"https://www.olx.in/item/honda-civic-18s-automatic-2007-petrol-iid-1585997100
",Honda,Civic,1.8 S AT,2007,Petrol,Automatic,"38,500 km",First,"₹ 2,80,000","Honda Civic 1.8V Manual, 2006, Petrol","Nungambakkam Thirumurthy Nagar, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Make Month: March
Color: Brown
Type of Car: Sedans
Insurance Type: Third Party
Condition: Used
Registration Place: TN"
"https://www.olx.in/item/volkswagen-jetta-comfortline-20l-tdi-2011-diesel-iid-1591480693
",Volkswagen,Jetta,2.0L TDI Comfortline,2011,Diesel,Manual,"110,000 km",Second,"₹ 3,90,000","Volkswagen Jetta Comfortline 2.0L TDI, 2010, Diesel","Nungambakkam, Chennai, Tamil Nadu","VOLKSWAGEN JETTA 2.0 TDI MT
2011 MODEL
SECOND OWNER
Alloy wheels
1,20,000km
MANUAL TRANSMISSION
10 Airbags
TOP END
ABS Breaking
Diesel Variant
Excellent condition
Good TYRES
ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Type of Car: Sedans
Registration Place: TN
Insurance Type: No Insurance
Condition: Used
Make Month: June"
"https://www.olx.in/item/volkswagen-passat-highline-dsg-2012-diesel-iid-1580525439
",Volkswagen,Passat,2007-2010 Highline DSG,2012,Diesel,Automatic,"87,000 km",First,"₹ 8,25,000",Audi A4 for sale,"Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Black
Type of Car: Sedans
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: December"
"https://www.olx.in/item/mercedes-benz-c-class-2010-petrol-36000-km-driven-iid-1582243128
",Mercedes-Benz,New C-Class,200 K AT,2010,Petrol,Automatic,"37,000 km",Second,"₹ 7,75,000","BMW 5 Series 530d Sedan, 2007, Diesel","KK Nagar, Madurai, Tamil Nadu","2010 February Mercedes Benz C200K Kompressor model Petrol Manual with sunroof driven 36,000 KMs for ₹7,50,000/-
It’s a second owner car And the top of the line variant. Under the hood comes with a 1.8L petrol engine that churns out 178BHP. It is kompressor model, which has a supercharged engine under the hood with AMG body kits. It includes Airbags, ABS with EBD, leather upholstery, SUNROOF, dual ac, halogen bi xenon headlights, motorised seats, alloy wheel, rear armrest with cup holder, rear ac vents, rear viper, defogger aux and cd audio original and best quality, neat and clear interiors, and more! It’s a clean car, very less driven, maintained properly, no accident history, Clean car with no scratches or dents and still shining with the original paint. Insurance valid until February 24, 2021 IDV ₹7,81,200/-
Availability Madurai 9️⃣5️⃣0️⃣0️⃣8️⃣8️⃣7️⃣8️⃣8️⃣7️⃣"
"https://www.olx.in/item/3bhk-duplex-house-for-sale-nandanam-layout-horamavu-iid-1592783014
",-1,-1,-1,-1,-1,-1,-1,-1,"₹ 1,30,00,000",Duplex independent Home,"Horamavu Banaswadi, Bengaluru, Karnataka","3BHK Duplex house for sale Nandanam Layout Horamavu Good location 30feet wide Road Semi furnished house own borewell please contact me further details, Regards madhav."
"https://www.olx.in/item/maruti-suzuki-ertiga-diesel-100000-km-driven-iid-1591433697
",Maruti Suzuki,Ertiga,VDI,2012,Diesel,Manual,"100,000 km",Second,"₹ 1,95,000","Maruti Suzuki Swift VXi, 2006, Petrol","Trichy City, Tiruchirappalli, Tamil Nadu",no original book
"https://www.olx.in/item/maruti-suzuki-swift-dzire-vxi-2013-petrol-iid-1563937824
",Maruti Suzuki,Swift Dzire,-1,2013,Petrol,-1,"60,000 km",-1,"₹ 4,40,000",Toyota Innova 2005 Diesel Well Maintained urgent sale,"Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Blue
No. of Owners: First
Type of Car: Sedans
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Transmission: Manual
Make Month: June
Variant: Swift Dzire VXI"
